P(was | he) 0.10526315789473684
P(still | was) 0.029411764705882353
P(, | still) 0.2222222222222222
P(as | ,) 0.025
P(ever | as) 0.02
P(, | ever) 0.3333333333333333
P(deeply | ,) 0.0020833333333333333
P(attracted | deeply) 0.5
P(by | attracted) 1.0
P(the | by) 0.3333333333333333
P(study | the) 0.005434782608695652
P(of | study) 0.3333333333333333
P(crime | of) 0.004807692307692308
P(, | crime) 0.5
P(occupied | and) 0.004784688995215311
P(his | occupied) 1.0
P(immense | his) 0.010309278350515464
P(faculties | immense) 0.5
P(and | faculties) 1.0
P(extraordinary | and) 0.004784688995215311
P(powers | extraordinary) 1.0
P(of | powers) 0.3333333333333333
P(in | observation) 1.0
P(following | in) 0.007751937984496124
P(out | following) 0.5
P(those | out) 0.045454545454545456
P(clues | those) 0.25
P(, | clues) 1.0
P(clearing | and) 0.004784688995215311
P(up | clearing) 1.0
P(those | up) 0.034482758620689655
P(which | mysteries) 0.5
P(had | which) 0.09090909090909091
P(been | had) 0.15217391304347827
P(abandoned | been) 0.045454545454545456
P(as | abandoned) 1.0
P(hopeless | as) 0.02
P(by | hopeless) 1.0
P(official | the) 0.002717391304347826
P(police | official) 1.0
P(. | police) 1.0
P(time | from) 0.027777777777777776
P(to | time) 0.16666666666666666
P(time | to) 0.005128205128205128
P(i | time) 0.16666666666666666
P(heard | i) 0.009615384615384616
P(some | heard) 0.16666666666666666
P(vague | some) 0.07692307692307693
P(account | vague) 1.0
P(of | account) 1.0
P(doings | his) 0.010309278350515464
P(of | doings) 1.0
P(to | summons) 1.0
P(odessa | to) 0.005128205128205128
P(in | odessa) 1.0
P(the | in) 0.21705426356589147
P(case | the) 0.005434782608695652
P(of | case) 0.2857142857142857
P(trepoff | the) 0.002717391304347826
P(murder | trepoff) 1.0
P(, | murder) 1.0
P(clearing | his) 0.010309278350515464
P(singular | the) 0.002717391304347826
P(tragedy | singular) 0.5
P(of | tragedy) 1.0
P(atkinson | the) 0.002717391304347826
P(brothers | atkinson) 1.0
P(at | brothers) 1.0
P(trincomalee | at) 0.02
P(, | trincomalee) 1.0
P(of | finally) 1.0
P(mission | the) 0.002717391304347826
P(which | mission) 1.0
P(he | which) 0.13636363636363635
P(had | he) 0.06315789473684211
P(accomplished | had) 0.021739130434782608
P(so | accomplished) 1.0
P(delicately | so) 0.05263157894736842
P(and | delicately) 1.0
P(for | successfully) 1.0
P(reigning | the) 0.005434782608695652
P(family | reigning) 0.5
P(of | family) 0.5
P(holland | of) 0.004807692307692308
P(. | holland) 1.0
P(beyond | .) 0.0021691973969631237
P(these | beyond) 1.0
P(signs | these) 0.25
P(of | signs) 1.0
P(activity | his) 0.010309278350515464
P(, | activity) 1.0
P(however | ,) 0.008333333333333333
P(, | however) 0.6
P(which | ,) 0.0125
P(i | which) 0.13636363636363635
P(merely | i) 0.004807692307692308
P(shared | merely) 0.5
P(with | shared) 1.0
P(all | with) 0.017543859649122806
P(the | all) 0.09523809523809523
P(readers | the) 0.002717391304347826
P(of | readers) 1.0
P(daily | the) 0.002717391304347826
P(press | daily) 1.0
P(, | press) 1.0
P(knew | i) 0.014423076923076924
P(little | knew) 0.2
P(my | of) 0.02403846153846154
P(former | my) 0.015873015873015872
P(friend | former) 0.5
P(and | friend) 0.2857142857142857
P(companion | and) 0.004784688995215311
P(. | companion) 0.5
P(night | one) 0.04
P(it | night) 0.25
P(on | was) 0.00980392156862745
P(the | on) 0.4782608695652174
P(twentieth | the) 0.002717391304347826
P(of | twentieth) 1.0
P(march | of) 0.004807692307692308
P(, | march) 1.0
P(1888 | ,) 0.0020833333333333333
P(i | 1888) 1.0
P(was | i) 0.09615384615384616
P(returning | was) 0.00980392156862745
P(from | returning) 1.0
P(a | from) 0.027777777777777776
P(to | journey) 1.0
P(a | to) 0.010256410256410256
P(patient | a) 0.005263157894736842
P(( | patient) 1.0
P(for | () 1.0
P(i | for) 0.08333333333333333
P(now | had) 0.021739130434782608
P(returned | now) 0.07692307692307693
P(to | returned) 0.25
P(civil | to) 0.005128205128205128
P(practice | civil) 1.0
P() | practice) 0.3333333333333333
P(, | )) 1.0
P(when | ,) 0.00625
P(way | my) 0.031746031746031744
P(led | way) 0.2
P(me | led) 1.0
P(through | me) 0.030303030303030304
P(baker | through) 0.25
P(. | street) 0.4
P(as | .) 0.010845986984815618
P(i | as) 0.22
P(passed | i) 0.004807692307692308
P(the | passed) 1.0
P(well | the) 0.005434782608695652
P(remembered | well) 0.1
P(, | door) 0.2
P(must | which) 0.022727272727272728
P(always | must) 0.07142857142857142
P(be | always) 0.3333333333333333
P(associated | be) 0.02127659574468085
P(in | associated) 0.5
P(my | in) 0.07751937984496124
P(mind | my) 0.031746031746031744
P(with | mind) 0.16666666666666666
P(my | with) 0.017543859649122806
P(wooing | my) 0.015873015873015872
P(, | wooing) 1.0
P(the | with) 0.14035087719298245
P(dark | the) 0.005434782608695652
P(incidents | dark) 0.2
P(of | incidents) 1.0
P(in | study) 0.3333333333333333
